Cubic_capacity;Number_of_cylinders;Number_of_valves;Max_power;Max_torque;Compression_rate;Kerb_weight;Gasoline;Diesel;Gasoline_Electric;Diesel_Electric;Direct;Indirect;Turbocharger;Biturbo;Compressor;Naturally_aspirated;Manual;Automatic;AWD;FWD;RWD;FCU;FCH;FCM
1984;4;16;211;350;9,6;1460;1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;7,7;5;6
1984;4;16;211;350;9,6;1505;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;8,9;5,6;6,8
1984;4;16;211;350;9,6;1425;1;0;0;0;1;0;1;0;0;0;1;0;0;1;0;8,3;5,1;6,3
1984;4;16;225;350;9,6;1545;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;8,5;5,6;6,7
1984;4;16;225;350;9,6;1460;1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;7,4;5;5,8
1984;4;16;225;350;9,6;1505;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;8,8;5,3;6,6
1984;4;16;225;350;9,6;1425;1;0;0;0;1;0;1;0;0;0;1;0;0;1;0;7,8;4,8;5,9
2995;6;24;333;440;10,3;1725;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;11,1;6,8;8,4
4163;8;32;450;430;11;1770;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;14,6;8,5;10,7
1969;4;16;120;290;16,5;1460;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;5,4;4;4,5
1969;4;16;143;320;16,5;1490;0;1;0;0;1;0;1;0;0;0;0;1;0;1;0;5,7;4,4;4,8
1969;4;16;143;320;16,5;1455;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;5,4;4;4,5
1969;4;16;150;320;16,5;1490;0;1;0;0;1;0;1;0;0;0;0;1;0;1;0;5,7;4,4;4,8
1969;4;16;150;320;16,5;1455;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;5,4;4;4,5
1969;4;16;177;380;16,5;1495;0;1;0;0;1;0;1;0;0;0;0;1;0;1;0;5,7;4,4;4,8
1969;4;16;177;380;16,5;1455;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;5,5;4,1;4,6
2967;6;24;204;400;16,8;1565;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;5,5;4,6;4,9
2967;6;24;245;500;16,8;1615;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;7,2;4,9;5,8
2967;6;24;245;500;16,8;1655;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;6,8;5,1;5,7
1984;4;16;211;350;9,6;1625;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;9;6,3;7,3
1984;4;16;211;350;9,6;1585;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;9,1;6,1;7,2
1984;4;16;225;350;9,6;1625;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;8,6;6,1;7,1
1984;4;16;225;350;9,6;1585;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;9;5,9;7
1968;4;16;143;320;16,5;1605;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;6,9;5,2;5,8
1968;4;16;150;320;16,5;1605;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;6,9;5,2;5,8
1968;4;16;177;380;16,5;1645;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;7;5,4;6
1968;4;16;177;380;16,5;1605;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;7,2;5,4;6,1
2967;6;24;245;500;16,8;1725;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;7,2;5,5;6,2
1798;4;16;170;320;9,6;1430;1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;6,9;5,1;5,8
1798;4;16;170;320;9,6;1400;1;0;0;0;1;0;1;0;0;0;1;0;0;1;0;7,4;4,8;5,7
1984;4;16;211;350;9,6;1525;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;8,8;5,8;7
1984;4;16;211;350;9,6;1450;1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;7,7;5;6
1984;4;16;211;350;9,6;1485;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;8,9;5,6;6,8
1984;4;16;211;350;9,6;1405;1;0;0;0;1;0;1;0;0;0;1;0;0;1;0;8,3;5,1;6,3
1984;4;16;225;350;9,6;1525;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;8,5;5,6;6,7
1984;4;16;225;350;9,6;1450;1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;7,4;5;5,8
1984;4;16;225;350;9,6;1485;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;8,8;5,3;6,6
1984;4;16;225;350;9,6;1405;1;0;0;0;1;0;1;0;0;0;1;0;0;1;0;7,7;4,8;5,9
